Date,Name,Year,Letterboxd URI,Rating
2025-08-20,Battle Royale,2000,https://boxd.it/25zS,2
2025-08-20,Death Note,2006,https://boxd.it/psEs,4
2025-08-22,Cure,1997,https://boxd.it/1blA,4.5
2025-08-22,Maborosi,1995,https://boxd.it/1G9U,5
2025-08-22,In Bruges,2008,https://boxd.it/20n8,4
2025-08-25,The Last 10 Years,2022,https://boxd.it/x57m,3.5
2025-08-28,Emilie Muller,1993,https://boxd.it/ewEO,4.5
2025-08-28,Adolescence,2025,https://boxd.it/TFGw,4.5
2025-08-29,The Farewell,2019,https://boxd.it/kIky,3
2025-08-31,The Big Lebowski,1998,https://boxd.it/2b6C,4
2025-08-31,Charulata,1964,https://boxd.it/1bVy,4.5
2025-09-02,Cowboy Bebop,1998,https://boxd.it/ptES,4.5
2025-09-02,Saving Private Ryan,1998,https://boxd.it/29ro,4
2025-09-02,T-34,2018,https://boxd.it/ihNY,3.5
2025-09-03,Postmen in the Mountains,1999,https://boxd.it/3FLM,5
2025-09-04,Dazed and Confused,1993,https://boxd.it/1Ylk,3
2025-09-04,The Thing,1982,https://boxd.it/294O,2
2025-09-06,Gulaal,2009,https://boxd.it/1BAw,2
2025-09-09,Climax,2018,https://boxd.it/ikvo,2
2025-09-11,Maqbool,2003,https://boxd.it/1CbM,4
2025-09-12,The Disciple,2020,https://boxd.it/riwi,4.5
2025-09-13,Salaam Bombay!,1988,https://boxd.it/Qhi,4
2025-09-19,Moonrise Kingdom,2012,https://boxd.it/2Wng,4.5
2025-09-27,Raanjhanaa,2013,https://boxd.it/5M1U,2
2025-10-14,Drive My Car,2021,https://boxd.it/sv94,3
2025-10-26,Robot Dreams,2023,https://boxd.it/vBZm,4
2025-10-27,The Hunger Games,2012,https://boxd.it/2uds,3.5
2025-10-27,The Hangover,2009,https://boxd.it/1GjK,4
2025-10-27,The Hangover Part II,2011,https://boxd.it/PZI,4
2025-10-27,The Hangover Part III,2013,https://boxd.it/3GNY,4
2025-10-27,Hotel for Dogs,2009,https://boxd.it/1MEa,4
2025-10-27,Paperman,2012,https://boxd.it/4uYW,4
2025-11-03,Anora,2024,https://boxd.it/Egcw,3.5
2025-11-04,The Hero,1966,https://boxd.it/3MJI,4.5
2025-11-05,Inglourious Basterds,2009,https://boxd.it/1JzG,3.5
2025-11-05,Slumdog Millionaire,2008,https://boxd.it/1S3E,4
